"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Streptococcus_mitis"	"BMI"	"BMI"	"BMI"	0.208688086289285	0	0.126306164524261	0.0984856529219846	0.989009607234176	0.1872718820125	0.999999999999999	NA	"prevalence"	382	191
"Streptococcus_rubneri"	"Reads"	"Reads"	"Reads"	0.212540302817456	0	0.127854601395807	0.0964407274831482	0.989009607234176	0.183580641048818	0.999999999999999	NA	"prevalence"	382	98
"Streptococcus_sanguinis"	"Reads"	"Reads"	"Reads"	0.202946117406071	0	0.112721109364814	0.0717932566038304	0.989009607234176	0.0182176623236025	0.887113602834062	NA	"prevalence"	382	163
"Thomasclavelia_ramosa"	"Reads"	"Reads"	"Reads"	0.199625903905368	0	0.116455389178809	0.0864950345148261	0.989009607234176	0.165508678033931	0.999999999999999	NA	"prevalence"	382	254
"TM7_phylum_sp_oral_taxon_349"	"BMI"	"BMI"	"BMI"	0.267098039785702	0	0.158658378539136	0.0922824118816993	0.989009607234176	0.176048780220695	0.999999999999999	NA	"prevalence"	382	21
"TM7_phylum_sp_oral_taxon_350"	"Reads"	"Reads"	"Reads"	0.353678115794444	0	0.195724898216192	0.0707597103468938	0.989009607234176	0.136512484085411	0.999999999999999	NA	"prevalence"	382	32
"Tropheryma_whipplei"	"BMI"	"BMI"	"BMI"	0.360935192026497	0	0.221598350718146	0.103359379922681	0.989009607234176	0.196035598427361	0.999999999999999	NA	"prevalence"	382	5
"Turicimonas_muris"	"BMI"	"BMI"	"BMI"	-0.874633150968869	0	0.535134595099614	0.102171293054729	0.989009607234176	0.193903612984982	0.999999999999999	NA	"prevalence"	382	10
"Veillonella_atypica"	"Reads"	"Reads"	"Reads"	0.210909322597582	0	0.118340152891965	0.0747117987229912	0.989009607234176	0.143841744577558	0.999999999999999	NA	"prevalence"	382	135
"Veillonella_magna"	"BMI"	"BMI"	"BMI"	0.410725983932787	0	0.232202545934347	0.0769228564502202	0.989009607234176	0.0769228564502202	0.999999999999999	NA	"prevalence"	382	3
"Vescimonas_coprocola"	"BMI"	"BMI"	"BMI"	-0.212109351815832	0	0.121336051927786	0.0804441454940065	0.989009607234176	0.154417030443752	0.999999999999999	NA	"prevalence"	382	275
"Wansuia_hejianensis"	"BMI"	"BMI"	"BMI"	-0.248498073795065	0	0.148353050800927	0.0939253528353958	0.989009607234176	0.179028733765538	0.999999999999999	NA	"prevalence"	382	138
"Alistipes_hominis"	"BMI"	"BMI"	"BMI"	-0.368139411340069	-0.0678371329290489	0.175857624235621	0.104855597941833	0.989039131849564	0.0576575190459578	0.997944805079165	NA	"abundance"	382	174
"Agathobaculum_SGB14990"	"Reads"	"Reads"	"Reads"	0.170431255751402	-0.21119275545582	0.218559143750962	0.105555284745445	0.990119779372179	0.199968651353198	0.999999999999999	NA	"abundance"	382	26
"Segatella_hominis"	"BMI"	"BMI"	"BMI"	1.68682270690999	-0.0678371329290489	0.992841125110355	0.105333592097475	0.990119779372179	0.199572018570792	0.999999999999999	NA	"abundance"	382	15
"Anaerofilum_hominis"	"BMI"	"BMI"	"BMI"	-0.498460055506094	0	0.308011170499268	0.10559405964634	0.990119779372179	0.200038013860085	0.999999999999999	NA	"prevalence"	382	36
"GGB52059_SGB72740"	"Reads"	"Reads"	"Reads"	-0.978232448939018	0	0.60411519692649	0.105386749623936	0.990119779372179	0.105386749623936	0.999999999999999	NA	"prevalence"	382	2
"Prevotellamassilia_timonensis"	"BMI"	"BMI"	"BMI"	9.81201657547326	-0.0678371329290489	3.49896358649683	0.105896064004126	0.990401627608371	0.200578151636687	0.999999999999999	NA	"abundance"	382	6
"Streptococcus_salivarius"	"Reads"	"Reads"	"Reads"	0.39967289765898	0	0.24721036622947	0.105936153929755	0.990401627608371	0.200649839150081	0.999999999999999	NA	"prevalence"	382	361
"Acutalibacter_SGB72747"	"BMI"	"BMI"	"BMI"	-0.67125662317769	0	0.415557700904807	0.106242478416227	0.991804783803249	0.201197492612432	0.999999999999999	NA	"prevalence"	382	16
"GGB9189_SGB14128"	"BMI"	"BMI"	"BMI"	-0.808145632046459	0	0.501764303818403	0.107265175924745	0.998415449809796	0.203024533883324	0.999999999999999	NA	"prevalence"	382	11
"GGB9575_SGB14988"	"BMI"	"BMI"	"BMI"	-0.897123506970979	0	0.556827354217863	0.107150509623055	0.998415449809796	0.202819787533629	0.999999999999999	NA	"prevalence"	382	10
"Clostridium_leptum"	"Reads"	"Reads"	"Reads"	0.00766921862710235	-0.21119275545582	0.130634846270524	0.108448892843975	0.998804411376618	0.205136623328866	0.999999999999999	NA	"abundance"	382	180
"Desulfovibrio_piger"	"Reads"	"Reads"	"Reads"	0.048434013839174	-0.21119275545582	0.155775116390369	0.107957944146061	0.998804411376618	0.204260970587877	0.999999999999999	NA	"abundance"	382	108
"Dorea_sp_AF36_15AT"	"Reads"	"Reads"	"Reads"	-0.0420728295812882	-0.21119275545582	0.0982033402303172	0.10847969440347	0.998804411376618	0.20519154470907	0.999999999999999	NA	"abundance"	382	141
"Actinobaculum_sp_oral_taxon_183"	"BMI"	"BMI"	"BMI"	0.279735814977504	0	0.174251775515552	0.108415883521205	0.998804411376618	0.205077763242726	0.999999999999999	NA	"prevalence"	382	14
"Eubacteriales_Family_XIII_Incertae_Sedis_unclassified_SGB3934"	"BMI"	"BMI"	"BMI"	0.204862985489118	0	0.127723311791496	0.108723038478457	0.998804411376618	0.205625377860925	0.999999999999999	NA	"prevalence"	382	69
"GGB4583_SGB6334"	"Reads"	"Reads"	"Reads"	-1.17113715104013	0	0.729006737892993	0.108167761033514	0.998804411376618	0.108167761033514	0.999999999999999	NA	"prevalence"	382	4
"GGB4593_SGB6353"	"Reads"	"Reads"	"Reads"	-0.593403653838605	0	0.369451045899437	0.10823509593677	0.998804411376618	0.204755355881097	0.999999999999999	NA	"prevalence"	382	8
"GGB84990_SGB118625"	"Reads"	"Reads"	"Reads"	0.914493767030613	0	0.570040157872284	0.10865631220817	0.998804411376618	0.10865631220817	0.999999999999999	NA	"prevalence"	382	3
"GGB9715_SGB15260"	"BMI"	"BMI"	"BMI"	-0.225826272795721	0	0.140598941828533	0.108235828052514	0.998804411376618	0.204756661630814	0.999999999999999	NA	"prevalence"	382	144
"Abiotrophia_defectiva"	"Reads"	"Reads"	"Reads"	-0.303791851508674	-0.21119275545582	0.144594956805675	0.547470010924194	1	0.795216608987051	0.999999999999999	NA	"abundance"	382	15
"Abiotrophia_sp_HMSC24B09"	"BMI"	"BMI"	"BMI"	-0.257972505277765	-0.0678371329290489	0.167143770440906	0.295869158876876	1	0.504199758579242	0.999999999999999	NA	"abundance"	382	21
"Abiotrophia_sp_HMSC24B09"	"Reads"	"Reads"	"Reads"	-0.182421089055815	-0.21119275545582	0.168985347661402	0.86978191652281	1	0.942870157130754	0.999999999999999	NA	"abundance"	382	21
"Acidaminococcus_fermentans"	"BMI"	"BMI"	"BMI"	0.259378431054347	-0.0678371329290489	0.417734327961141	0.480425038851101	1	0.0321829171565934	0.96068751672793	NA	"abundance"	382	10
"Acidaminococcus_fermentans"	"Reads"	"Reads"	"Reads"	0.937135289501367	-0.21119275545582	1.00187533453027	0.315806504047089	1	0.113995229614405	0.999999999999999	NA	"abundance"	382	10
"Acidaminococcus_intestini"	"BMI"	"BMI"	"BMI"	0.513046179692382	-0.0678371329290489	0.540602633480006	0.292108051271577	1	0.114711190540262	0.999999999999999	NA	"abundance"	382	42
"Acidaminococcus_massiliensis"	"BMI"	"BMI"	"BMI"	-0.397209564674027	-0.0678371329290489	0.218145506810751	0.150130897324095	1	0.252923472048335	0.999999999999999	NA	"abundance"	382	57
"Acidaminococcus_massiliensis"	"Reads"	"Reads"	"Reads"	-0.238012179301655	-0.21119275545582	0.185199896261421	0.887574049904734	1	0.0711594059758552	0.999999999999999	NA	"abundance"	382	57
"Acidaminococcus_provencensis"	"BMI"	"BMI"	"BMI"	0.120080925376465	-0.0678371329290489	0.372535888448312	0.62093314173779	1	0.856308316967218	0.999999999999999	NA	"abundance"	382	36
"Acidaminococcus_provencensis"	"Reads"	"Reads"	"Reads"	0.0122458367111474	-0.21119275545582	0.309072335708272	0.478103488647529	1	0.177771937596305	0.999999999999999	NA	"abundance"	382	36
"Actinobaculum_sp_oral_taxon_183"	"BMI"	"BMI"	"BMI"	-0.0667948709680757	-0.0678371329290489	0.187898464428482	0.995849327949577	1	0.205077763242726	0.999999999999999	NA	"abundance"	382	14
"Actinobaculum_sp_oral_taxon_183"	"Reads"	"Reads"	"Reads"	-0.298174683539923	-0.21119275545582	0.351964165831294	0.810625849241012	1	0.561067611403563	0.999999999999999	NA	"abundance"	382	14
"Actinomyces_bouchesdurhonensis"	"BMI"	"BMI"	"BMI"	-0.246384845460267	-0.0678371329290489	0.244242962416348	0.478516895436131	1	0.728055371654429	0.999999999999999	NA	"abundance"	382	67
"Actinomyces_dentalis"	"BMI"	"BMI"	"BMI"	-0.048964791518048	-0.0678371329290489	0.0437596151430355	0.790295311858824	1	0.0105077786716656	0.887113602834062	NA	"abundance"	382	19
