"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Streptococcus_anginosus"	"ACVD"	"1"	"ACVD1"	1.02316341138413	-0.0189389603225172	0.415649105501439	0.0156411781048845	0.458964694867138	0.00000383011899099974	0.000933494365261265	NA	"abundance"	382	79
"Mogibacterium_diversum"	"ACVD"	"1"	"ACVD1"	0.374240259249285	-0.0189389603225172	0.153618753211217	0.0158801897200527	0.462500649856658	0.000001066797280282	0.000351721624051143	NA	"abundance"	382	101
"Granulicatella_sp_UMB5615A"	"ACVD"	"1"	"ACVD1"	0.299215923508198	-0.0189389603225172	0.130602240768395	0.0221106738644843	0.516501568790226	0.0000000875331204871709	0.0000456422699683106	NA	"abundance"	382	170
"Lawsonibacter_asaccharolyticus"	"ACVD"	"1"	"ACVD1"	-0.437692134371457	-0.0189389603225172	0.178245753754144	0.0237108723373307	0.530988719983885	0.000742083862133788	0.0569651237053919	NA	"abundance"	382	198
"Neopoerus_faecalis"	"ACVD"	"1"	"ACVD1"	-0.366793589433147	-0.0189389603225172	0.152568469942484	0.0294835121051763	0.575396415633765	0.000916425052581111	0.068264315141246	NA	"abundance"	382	185
"Eggerthella_lenta"	"ACVD"	"1"	"ACVD1"	0.426886472372025	-0.0189389603225172	0.199155590578393	0.0295864518426252	0.575412256102086	0.0000686540155587769	0.0106632832676398	NA	"abundance"	382	293
"Pilosibacter_fragilis"	"ACVD"	"1"	"ACVD1"	-0.434116244117692	-0.0189389603225172	0.186689238385293	0.0309753391911883	0.58493430846844	0.000702123702856892	0.0551129358156485	NA	"abundance"	382	302
"Mesosutterella_multiformis"	"ACVD"	"1"	"ACVD1"	-0.626080976797094	-0.0189389603225172	0.280988819004577	0.0346250264263959	0.605392763336244	0.000449207854626448	0.0395086426358201	NA	"abundance"	382	163
"Clostridium_innocuum"	"ACVD"	"1"	"ACVD1"	0.426853080596042	-0.0189389603225172	0.209739462193966	0.0384640888727574	0.637636770789638	0.00000110816402098305	0.000351721624051143	NA	"abundance"	382	254
"Streptococcus_vestibularis"	"ACVD"	"1"	"ACVD1"	1.08228750287146	-0.0189389603225172	0.526229398641064	0.0397903198998169	0.650649532663486	0.00000000000499357675200422	0.0000000364531102896308	NA	"abundance"	382	128
"Bacteroides_caccae"	"ACVD"	"1"	"ACVD1"	0.5259604649164	0	0.258263338959985	0.0416973862579237	0.65882995723046	0.000241567669305024	0.0251920569418096	NA	"prevalence"	382	269
"Lactobacillus_paragasseri"	"ACVD"	"1"	"ACVD1"	1.86023313402123	-0.0189389603225172	0.879878635747354	0.0428996044935626	0.666316713891011	0.00049056261372404	0.0416407800021569	NA	"abundance"	382	34
"Streptococcus_sanguinis"	"ACVD"	"1"	"ACVD1"	0.451459020553593	-0.0189389603225172	0.230271549114325	0.0463080110773069	0.685428816299758	0.000000000181105780957492	0.000000330518050247423	NA	"abundance"	382	163
"Lactobacillus_crispatus"	"ACVD"	"1"	"ACVD1"	2.45346709979908	-0.0189389603225172	1.18299066967209	0.0470608675729571	0.689652044055266	0.000938355195782657	0.068499929292134	NA	"abundance"	382	39
"Streptococcus_australis"	"Reads"	"Reads"	"Reads"	-0.399885131646561	-0.190999206214091	0.106291592177664	0.0564831671097883	0.71690642801521	0.000619961933201879	0.0501200250776793	NA	"abundance"	382	252
"Parvimonas_micra"	"ACVD"	"1"	"ACVD1"	0.846223245334212	-0.0189389603225172	0.440268050274727	0.0577248313633205	0.719026277270065	0.000224727186680819	0.0239067574465116	NA	"abundance"	382	56
"Bifidobacterium_dentium"	"ACVD"	"1"	"ACVD1"	0.915055714855734	-0.0189389603225172	0.489244145985141	0.0612043078374895	0.734531576892421	0.00022555192560818	0.0239067574465116	NA	"abundance"	382	100
"Rothia_mucilaginosa"	"ACVD"	"1"	"ACVD1"	0.59255748953017	-0.0189389603225172	0.327062650202722	0.0674620029533668	0.751720585119041	0.0000000000392878024808976	0.000000125883568136042	NA	"abundance"	382	101
"GGB74412_SGB5075"	"ACVD"	"1"	"ACVD1"	0.420756787663949	0	0.232890530850782	0.0708134449694807	0.759096868582154	0.000000390784395745368	0.000150143478365325	NA	"prevalence"	382	196
"Gemella_morbillorum"	"ACVD"	"1"	"ACVD1"	0.486872241971724	-0.0189389603225172	0.270609617909438	0.0729879690616981	0.769165744171343	0.00017307018939496	0.0207116784030035	NA	"abundance"	382	54
"Streptococcus_cristatus"	"ACVD"	"1"	"ACVD1"	0.526765993064405	-0.0189389603225172	0.29756515474231	0.0750069376232164	0.775188961697409	0.0000026100084132313	0.000680466479163874	NA	"abundance"	382	82
"Clostridium_scindens"	"ACVD"	"1"	"ACVD1"	0.461477164484298	-0.0189389603225172	0.265545591305419	0.0760185097275308	0.778258475833638	0.00000692470593948526	0.0014442958102355	NA	"abundance"	382	167
"Klebsiella_pneumoniae"	"ACVD"	"1"	"ACVD1"	0.697406367992312	-0.0189389603225172	0.414716284583396	0.0870798971670819	0.803194265341171	0.000154355063320206	0.0194274476247846	NA	"abundance"	382	225
"Limosilactobacillus_mucosae"	"ACVD"	"1"	"ACVD1"	1.29316312575719	-0.0189389603225172	0.757575962745207	0.0891989702171205	0.808124784839492	0.0000201879328575174	0.00360082344402253	NA	"abundance"	382	77
"Eubacterium_callanderi"	"ACVD"	"1"	"ACVD1"	0.635703852456608	-0.0189389603225172	0.380341188083123	0.0940786703559611	0.822491200371715	0.00103991248824149	0.0722986777539318	NA	"abundance"	382	65
"Phocaeicola_sartorii"	"ACVD"	"1"	"ACVD1"	-0.292328996301835	-0.0189389603225172	0.157085611912992	0.0942347632793061	0.822491200371715	0.000000659052590189119	0.000229099233732408	NA	"abundance"	382	226
"Actinomyces_sp_ICM47"	"ACVD"	"1"	"ACVD1"	0.330528333005034	-0.0189389603225172	0.204001131631741	0.0973980613360168	0.831755289658705	0.0000457948800386229	0.00759778691549879	NA	"abundance"	382	91
"Clostridiaceae_unclassified_SGB4769"	"ACVD"	"1"	"ACVD1"	-0.308099052924279	-0.0189389603225172	0.176117254119804	0.116104709209703	0.873442037367063	0.000624783874256002	0.0501200250776793	NA	"abundance"	382	74
"Agathobaculum_faecis"	"ACVD"	"1"	"ACVD1"	0.188752369704052	-0.0189389603225172	0.129419505332552	0.128706318945619	0.879744782186296	0.0000480851928225018	0.00780048683565028	NA	"abundance"	382	166
