"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Clostridium_sp_AF36_4"	"ACVD"	"1"	"ACVD1"	-1.08057649869187	-0.0189389603225172	0.44076859626417	0.0187421210076577	0.496887950044838	0.0371329749154497	0.616602982750562	NA	"abundance"	382	123
"Blautia_sp_XA_2221"	"BMI"	"BMI"	"BMI"	0.450719026065706	0	0.192063225488649	0.0189393720701008	0.500546655071648	0.0375200443257919	0.621080098816963	NA	"prevalence"	382	10
"GGB9469_SGB14863"	"ACVD"	"1"	"ACVD1"	-1.09563234952968	-0.0189389603225172	0.280385533129612	0.0191287149111017	0.503278638604896	0.0378915220880532	0.625810206431648	NA	"abundance"	382	13
"Candidatus_Nanoperiomorbus_SGB208241"	"Reads"	"Reads"	"Reads"	0.743293351639469	0	0.317232143395444	0.0191264030418231	0.503278638604896	0.0191264030418231	0.467688086147243	NA	"prevalence"	382	17
"GGB3000_SGB3991"	"BMI"	"BMI"	"BMI"	-0.8757507646191	-0.0540100853264861	0.297967249104049	0.0193023634546607	0.505575103640197	0.0382321456743857	0.627474454393434	NA	"abundance"	382	19
"GGB4964_SGB6927"	"BMI"	"BMI"	"BMI"	-0.945397793719774	-0.0540100853264861	0.119947663770392	0.0192852708705431	0.505575103640197	0.038198620068536	0.627474454393434	NA	"abundance"	382	11
"Candidatus_Saccharibacteria_unclassified_SGB19846"	"ACVD"	"1"	"ACVD1"	0.456240328465536	-0.0189389603225172	0.19121283921105	0.0204617038128025	0.506481243636981	0.00179993515961716	0.113271781596597	NA	"abundance"	382	43
"Fusicatenibacter_saccharivorans"	"Reads"	"Reads"	"Reads"	0.0736741536708271	-0.190999206214091	0.11085507517293	0.0203596940240857	0.506481243636981	0.0403048709074169	0.627474454393434	NA	"abundance"	382	316
"Fusobacteriaceae_bacterium_AM62_5ACA"	"ACVD"	"1"	"ACVD1"	-3.47768853457655	-0.0189389603225172	1.30972514968959	0.0204196307685267	0.506481243636981	0.0404223002163305	0.627474454393434	NA	"abundance"	382	24
"GGB3626_SGB4905"	"Age"	"Age"	"Age"	-0.288869249149264	0.0165451121120855	0.0996750472089698	0.0204329580684877	0.506481243636981	0.0404484103615467	0.627474454393434	NA	"abundance"	382	16
"GGB4964_SGB6927"	"Age"	"Age"	"Age"	-0.467187096127597	0.0165451121120855	0.0644243921270818	0.0195075716733673	0.506481243636981	0.0386345979941429	0.627474454393434	NA	"abundance"	382	11
"GGB9469_SGB14863"	"Reads"	"Reads"	"Reads"	-0.843590678132984	-0.190999206214091	0.173248309387229	0.0202279333918697	0.506481243636981	0.0400466974944334	0.627474454393434	NA	"abundance"	382	13
"Kluyvera_ascorbata"	"Reads"	"Reads"	"Reads"	-0.902930725121803	-0.190999206214091	0.264192228138544	0.019936517671905	0.506481243636981	0.0394755706069278	0.627474454393434	NA	"abundance"	382	18
"Odoribacter_splanchnicus"	"BMI"	"BMI"	"BMI"	-0.330182777775799	-0.0540100853264861	0.110975810019187	0.0194368394882743	0.506481243636981	0.0384958882472558	0.627474454393434	NA	"abundance"	382	247
"Dysosmobacter_welbionis"	"BMI"	"BMI"	"BMI"	-0.298734923521211	0	0.128184335423949	0.0197791923568125	0.506481243636981	0.0391671682633372	0.627474454393434	NA	"prevalence"	382	296
"Enorma_massiliensis"	"ACVD"	"1"	"ACVD1"	0.761036536884643	0	0.328201191840225	0.0204052859966419	0.506481243636981	0.0403941962966792	0.627474454393434	NA	"prevalence"	382	61
"Enterocloster_alcoholdehydrogenati"	"Reads"	"Reads"	"Reads"	-1.12335892004754	0	0.482118326815316	0.0198036058895415	0.506481243636981	0.0198036058895415	0.473313679456511	NA	"prevalence"	382	4
"Flintibacter_faecis"	"ACVD"	"1"	"ACVD1"	-0.742132097627129	0	0.319780899859733	0.0203002434898335	0.506481243636981	0.0401883870939206	0.627474454393434	NA	"prevalence"	382	71
"GGB12785_SGB19823"	"ACVD"	"1"	"ACVD1"	0.810303599822642	0	0.349547872097037	0.0204412946456472	0.506481243636981	0.0404647427645043	0.627474454393434	NA	"prevalence"	382	48
"GGB143098_SGB14906"	"Age"	"Age"	"Age"	0.52183545713862	0	0.223397488285204	0.0194961589576335	0.506481243636981	0.0386122177011656	0.627474454393434	NA	"prevalence"	382	13
"GGB3385_SGB4472"	"BMI"	"BMI"	"BMI"	-1.62363045200024	0	0.699902935520887	0.0203520376133056	0.506481243636981	0.0203520376133056	0.479257659926229	NA	"prevalence"	382	8
"GGB9237_SGB14179"	"Age"	"Age"	"Age"	-0.382708021636435	0	0.164111172975857	0.0197004455309123	0.506481243636981	0.0390127835077082	0.627474454393434	NA	"prevalence"	382	84
"Luoshenia_tenuis"	"BMI"	"BMI"	"BMI"	-0.973306522286264	0	0.418952413277091	0.0201688881120427	0.506481243636981	0.0399309921764094	0.627474454393434	NA	"prevalence"	382	19
"Megasphaera_hominis"	"ACVD"	"1"	"ACVD1"	-1.00177977911565	0	0.429376433993241	0.0196426993797594	0.506481243636981	0.0388995631205952	0.627474454393434	NA	"prevalence"	382	36
"Mogibacterium_SGB71342"	"ACVD"	"1"	"ACVD1"	2.00551215898545	0	0.863730268589421	0.0202372702613661	0.506481243636981	0.0400649934151006	0.627474454393434	NA	"prevalence"	382	11
"Phocaeicola_vulgatus"	"Reads"	"Reads"	"Reads"	0.860049099938058	0	0.371037480259979	0.0204516324443612	0.506481243636981	0.0404849956190832	0.627474454393434	NA	"prevalence"	382	375
"Pseudoruminococcus_massiliensis"	"ACVD"	"1"	"ACVD1"	-0.972545568115483	0	0.419173069865009	0.0203326133697403	0.506481243636981	0.0402518115730372	0.627474454393434	NA	"prevalence"	382	40
"Segatella_sinensis"	"BMI"	"BMI"	"BMI"	-0.556377822288591	0	0.23824774072255	0.0195282201578592	0.506481243636981	0.0386750889331845	0.627474454393434	NA	"prevalence"	382	64
"Sutterella_SGB9281"	"ACVD"	"1"	"ACVD1"	-0.576221098529055	0	0.248116290461866	0.0202123124675007	0.506481243636981	0.0400160873597175	0.627474454393434	NA	"prevalence"	382	126
