Sample	RawReads	TrimmedReads	TrimmedSingles	FilteredReads	FilteredSingles	Basic Statistics	Per base sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
ERR2017556	65569878	58381090	2670392	58360946	2669840	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017475	68596252	65556960	0	65540470	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017637	55487296	52443428	1203401	52399042	1202867	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017439	44621858	40394400	1754519	40382308	1754203	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017754	55620922	52519948	0	52504682	0	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017592	55080684	49949424	1966412	49924314	1965876	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017673	60768126	56203420	1818214	56112592	1816655	PASS	PASS	PASS	PASS	FAIL	PASS	WARN	PASS	PASS	PASS
ERR2017736	39592980	37351496	914960	37335356	914731	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017574	63152212	52358042	3992200	52319574	3990522	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017655	41856624	35516372	2258473	35500726	2257917	PASS	PASS	PASS	WARN	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017538	61623596	54439314	2687702	54416834	2686984	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017457	46733742	41343944	2228826	41327710	2228256	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017619	25807460	24412760	584703	24101016	579556	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017772	41893014	39901248	0	39892596	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017691	47483140	42855058	1749388	42834672	1748926	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017565	54085650	48028350	2338255	47976336	2337028	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017727	50814874	45595738	2024278	45489778	2021646	PASS	PASS	PASS	FAIL	FAIL	PASS	WARN	PASS	PASS	PASS
ERR2017646	38565090	36519220	830404	36498744	830180	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017484	59759088	56839156	0	56825494	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017808	55804758	53337182	0	53319334	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017529	83347548	75262594	3048154	75234692	3047482	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017448	33294144	30729168	1092998	30716120	1092727	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017763	69542842	66068582	0	66028472	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	WARN	PASS	PASS
ERR2017682	56156776	50980398	2011793	50962284	2011389	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017745	43118014	41009436	866842	40981980	866529	PASS	PASS	PASS	WARN	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017664	48369196	41703614	2457853	41670678	2456838	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017547	61348866	55153862	2457070	55117898	2456046	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017709	58904294	53388952	2137860	53264160	2133734	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017628	60262560	54074520	2411324	54019060	2409880	PASS	PASS	PASS	WARN	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017466	76714990	58944594	7089669	58856716	7082033	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017781	52274226	49684638	0	49549496	0	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017714	67041602	60096892	2657209	60065342	2656444	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017552	58702612	52276734	2407794	52219200	2405958	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017471	57867776	54250970	1398016	54231084	1397712	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017633	40529428	38207584	927661	38188934	927386	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017750	69437336	60570576	3360089	60548180	3359434	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017435	43144868	31815506	4924850	31795492	4923562	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017516	48689588	19006678	12993	19002880	12987	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017732	63710208	53127972	4318846	53090390	4316969	PASS	PASS	PASS	PASS	PASS	WARN	WARN	PASS	PASS	PASS
ERR2017570	67746698	57705422	3712945	57646424	3711178	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017813	56934892	49856348	2814690	49826088	2813736	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017651	62509756	51292936	4055103	51173972	4049471	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017417	39837430	30062328	4307867	30046330	4307013	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017453	35716816	32625314	1286633	32615536	1286361	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017615	47674574	43913576	1529066	43896112	1528748	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017534	62335426	52122684	3657546	52101542	3656646	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017561	41025268	35698968	2094076	35678444	2093392	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017723	26720970	21924750	1796138	21915196	1795648	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017642	47826282	44547318	1302092	44518676	1301733	PASS	PASS	PASS	WARN	WARN	PASS	WARN	WARN	PASS	PASS
ERR2017804	53567348	51705018	0	51696368	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017606	39610530	37186250	1006139	37165436	1005823	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017444	40112244	34894082	2201676	34883166	2201221	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017525	74238274	61399752	5153972	61372858	5152663	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017741	51448438	46316940	2134108	46300804	2133706	PASS	WARN	PASS	PASS	PASS	FAIL	WARN	PASS	PASS	PASS
ERR2017660	65581420	56157124	3414320	56132028	3413481	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017426	34655440	25626176	3998416	25616106	3997700	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017507	61766116	59070300	0	59053086	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017624	62929474	55171162	2865351	55126476	2864161	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017462	73209170	55975406	6870023	55884252	6863779	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017705	53405518	47337852	2402330	47307242	2401620	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017543	62565216	54051942	3094713	54035742	3094080	PASS	PASS	PASS	WARN	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017479	56079630	53519916	0	53508940	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017794	57443724	54857268	0	54847398	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017677	50036732	43505672	2570421	43475818	2569498	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017596	44418810	39910566	1765386	39874972	1764541	PASS	PASS	PASS	PASS	WARN	PASS	WARN	WARN	PASS	PASS
ERR2017659	66793286	58494556	3028157	58440390	3026732	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017578	58212220	52347620	2250289	52320716	2249576	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017695	47115346	41375286	2189316	41348674	2188563	PASS	PASS	PASS	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017776	58380872	55892146	0	55880194	0	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017569	67723182	56880604	3935862	56854006	3934973	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017686	60873386	54678276	2408797	54581402	2405362	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017767	56478380	54164704	0	54127382	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017668	52659382	46035660	2473427	45933316	2470420	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017587	60830300	53674852	2683233	53651928	2682562	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017749	67302322	59202526	3102485	59180444	3101855	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017785	55424072	53520158	0	53494834	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
