Sample	RawReads	TrimmedReads	TrimmedSingles	FilteredReads	FilteredSingles	Basic Statistics	Per base sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
ERR2017605	41082604	38617216	1022793	38576866	1022180	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017524	64257232	52979470	4525264	52955672	4524175	PASS	PASS	PASS	PASS	PASS	PASS	WARN	WARN	PASS	PASS
ERR2017803	43278646	41395568	0	41388184	0	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017641	46248910	43714122	1003617	43694948	1003371	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017560	36068952	34292550	743483	34273224	743248	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017722	37342100	30970402	2419094	30957566	2418436	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017658	46870724	41329300	2057886	41287530	2056729	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017577	62883914	54440778	3174587	54416920	3173744	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017739	50531154	44367774	2495856	44352462	2495327	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017694	57106314	49831684	2708625	49774118	2706526	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017775	55356650	53313132	0	53105044	0	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS	PASS
ERR2017676	78019128	68488564	3482570	68430158	3480710	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017595	61954458	56630482	2046230	56596810	2045507	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS
ERR2017757	68661142	65795900	0	65766634	0	PASS	PASS	PASS	WARN	PASS	PASS	WARN	PASS	PASS	PASS
